id,glottocode,name,source,latitude,longitude,elevation,macroarea
2901,paka1251,Bakanh,er,"-15,0908","142,74",77,Australia
2877,pall1243,Pallanganmiddang,er,"-35,03278179","149,3371079",162,Australia
2848,pany1241,Panyjima,er,"-22,7816",118723,757,Australia
2869,pinj1244,Pinjarup,er,NA,NA,NA,Australia
2963,pint1250,Pintupi,er,"-23,2963",130643,622,Australia
2753,pirl1238,Pirlatapa,er,-29524,"139,77",115,Australia
2766,pirr1240,Pirriya,er,"-25,48006595","142,5485119",159,Australia
2226,pitj1243,Pitjantjatjara,uz,"-26,9704",131357,556,Australia
2763,pitt1247,Pitta Pitta,er,"-22,7952",139983,165,Australia
2758,punt1240,Punthamara,er,"-27,33",143,100,Australia
2979,rita1239,Ritharrngu,er,"-13,4559",135259,178,Australia
2999,sout2770,Ngunawal,er,"-36,30008261","148,7238073",922,Australia
2996,sout2771,Djirringany,er,"-37,06227181","149,7169306",340,Australia
2985,sydn1236,Dharuk,er,"-33,52925837","150,3490464",862,Australia
2881,thay1248,Awu Alaya,er,"-14,8292",143324,169,Australia
2923,thay1249,Thaayorre,er,"-14,8159",142034,31,Australia
2746,thii1234,Thiin,er,NA,NA,NA,Australia
2993,thur1254,Dharawal,er,"-35,2853",147475,1,Australia
2911,tyan1235,Thaynakwithi,er,-12544,141984,1,Australia
2929,umbu1256,Umbuygamu,er,"-14,25876","143,6305",36,Australia
2902,umpi1239,Umpila,er,"-13,1528",143467,140,Australia
2716,waal1238,Waalubal,er,NA,NA,NA,Australia
2781,wadi1260,Wathi Wathi,er,NA,NA,NA,Australia
2969,wadi1261,Wadikali,er,NA,NA,NA,Australia
2947,waga1260,Eastern Wakaya,er,-20329,137623,224,Australia
2771,waja1257,Watjarri,er,"-28,1761",117153,452,Australia
2871,waju1234,Wajuk,er,NA,NA,NA,Australia
2907,wala1263,Walangama,er,"-17,60243295","142,4891266",126,Australia
2859,walm1241,Walmajarri,er,"-19,7229",126113,240,Australia
2926,wami1239,Agwamin,er,"-18,3727",143943,632,Australia
2764,wang1289,Wangkayutyuru,er,"-24,7022",137433,102,Australia
2762,wang1290,Wangkangurru,er,"-25,8148",135941,169,Australia
2721,wang1291,Ngiyambaa,er,"-30,6481","146,18",202,Australia
2957,wanm1242,Warnman,er,"-22,7078",122325,430,Australia
2870,ward1248,Wardandi,er,NA,NA,NA,Australia
2747,wari1262,Warriyangga,er,-24353,116927,430,Australia
2861,warl1254,Warlpiri,er,"-20,1008","131,05",389,Australia
2860,warl1255,Warlmanpa,er,-18949,133862,357,Australia
2948,warl1256,Warluwarra,er,"-22,2909",138738,191,Australia
2733,warr1255,Warrgamay,er,"-18,5468",146179,117,Australia
2718,warr1257,Warrnambool,er,-38345,"142,4608",1,Australia
2820,waru1264,Warungu,er,"-18,2496","144,37",519,Australia
2951,waru1265,Warumungu,er,"-20,6479",134375,404,Australia
2776,wath1238,Wathawurrung,er,"-37,68777565","144,1013148",441,Australia
2786,wemb1241,Wemba Wemba,er,-35445,"144,09",74,Australia
3019,werg1234,Piangil,er,NA,NA,NA,Australia
1235,west2441,Arrarnte,ph,"-24,05052","133,24621",617,Australia
2782,west2443_01,East Djadjawurung,er,"-34,13829932","143,6694397",75,Australia
2988,west2443_02,West Djadjawurung,er,"-34,13829932","143,6694397",75,Australia
2896,wikm1247,Wik Mungkan,er,"-13,98051","141,81611",16,Australia
